HX0,HY1,JX2,JA3,LP4,LD5,VS6,VO7,WC8,TCX9,TCY10,TTX11,TTY12,TBX13,TBY14,TRX15,TRY16,TS1,TS2,TS3,TS4,MA1,MA2,MA3
0.2629,-4.2577,0,-4.3532,0.0994,1.0595,1,0.05,0,-0.1154,-1.9006,4.2457,-1.6323,3.0737,-0.6857,-2.7656,-3.1259,1.336,-0.176,0.638,0.1,-0.05,-0.05,-0.05
0.717,-4.0816,0,-3.2479,-0.1589,0.9239,1,-0.1,0,2.3731,-0.7565,4.3728,-1.1341,3.5,0.7136,-1.1427,-1.058,1.096,1.374,0.068,0,-0.05,-0.05,-0.05
1,-5.3436,-0.25,-2.4308,-0.041,0.8251,0.4,-0.1,0,2.5295,-0.5805,4.6583,-0.8915,3.725,0.821,-0.0541,-0.928,1.116,0.119,-0.165,-0.524,0,0,0
0.6314,-5.3026,0,-6.3288,0.7435,0.1846,0.503,-0.01,0,-0.1834,-1.0274,2.3269,-1.2931,1.9694,-0.0949,-1.0859,-3.1824,0.806,-0.392,0.05,0,-0.05,-0.05,-0.05
1,-6,0,-4.0217,0.95,0.2233,0.5347,-0.1,0,0.4343,-0.9421,2.5891,-0.694,2.4431,0.3572,-0.3843,-2.6691,1.4,0.212,0.128,-0.05,-0.05,-0.05,-0.05
0.3855,-3.8773,0,-4.4288,-0.1779,0.9528,0.7254,0.01,0,1.7277,-1.2765,4.6663,-1.4092,3.1823,0.6576,-1.7668,-1.5943,0.966,0.18,0.28,-0.672,-0.05,-0.05,-0.05
0.2667,-5.2823,0,-4.783,0.7696,0.1842,0.1,-0.01,0,1.8809,-0.8076,4.513,-1.5538,3.246,0.6243,-0.0745,-1.467,1.372,0.528,0.286,0.31,-0.05,-0.05,-0.05
0.702,-5.2996,0,-4.0264,0.95,0.2463,0.3,-0.1,0,2.3869,-0.6672,4.5371,-1.0007,3.975,0.6917,-0.0224,-1.0465,1.226,0.046,0.128,-0.066,-0.05,-0.05,-0.05
0,-4.0694,-0.05,-4.5044,0.008,0.9384,1,0.05,0,0.3641,-1.7175,4.3351,-1.5577,2.3297,-0.3184,-2.3996,-2.7274,1.034,0.214,0.36,0.002,-0.05,-0.05,-0.05
0.5894,-5.3054,-0.05,-3.1482,-0.0644,0.6779,0.5438,-0.1,0,1.9501,-1.6542,4.6082,-0.9248,3.1525,0.5213,-0.9303,-1.6542,1.144,1.192,0.844,-0.032,-0.05,-0.05,-0.05
0.2217,-4.4025,0,-4.4901,0.0897,0.9976,1,0.01,0,1.4643,-2.1779,4.6082,-1.2813,2.5695,0.1015,-1.9758,-2.1779,0.346,0.262,1.09,-0.042,-0.05,-0.05,-0.05
0.3404,-5.0757,0,-5.0957,0.4382,0.4659,0.8572,-0.1,0,-0.4554,-1.8116,4.0587,-1.7142,2.4237,-1.3512,-2.014,-3.4084,-0.068,0.42,0.252,0.274,-0.05,-0.05,-0.05
0.9239,-4.9291,-0.05,-4.3699,0.5426,0.1801,0.53,-0.1,0,0.0274,-1.0846,4.6549,-1.2545,2.876,-0.7049,-1.5031,-3.0072,0.128,-0.072,0.616,0.094,-0.05,-0.05,-0.05
0.0828,-5.2489,-0.1,-4.9272,0.4879,0.4704,0.3,-0.1,0,0.2443,-2.3406,4.769,-1.3831,2.449,-0.6589,-1.9963,-2.827,0.224,0.734,1.4,0.46,-0.05,-0.05,-0.05
0.2806,-6,0,-5.0351,0.6673,0.3368,0.1302,-0.1,0,0.5509,-1.9506,4.8183,-1.1312,2.6557,-0.6178,-1.3731,-2.5722,0.874,0.022,0.424,0.364,-0.05,-0.05,-0.05
0.6259,-4.8156,0,-4.5786,0.1703,0.6552,0.1709,0.02,0,1.3537,-2.0142,4.7569,-0.969,3.2925,-0.0516,-1.9691,-2.0142,0.752,0.496,0.95,0.206,-0.05,-0.05,-0.05
0.2791,-4.9823,0,-4.7772,0.0224,0.8923,0.4618,0.02,0,0.2609,-2.124,4.3252,-1.6043,2.5629,-0.8513,-2.1704,-2.8132,0.28,0.622,0.84,0.416,-0.05,-0.05,-0.05
